Resource_Name;County;Longitude;Latitude;
Woodcrest;Suffolk;-73.1827889;40.89984743;
Utica State Hospital;Oneida;-75.25315488;43.10500737;
Rose Hill;Albany;-73.90322864;42.70275803;
Apple Tavern;Albany;-73.98591708;42.70987997;
Munson Diner;Sullivan;-74.74457322;41.79703741;
Young Israel of Flatbush;Kings;-73.96594956;40.62693647;
East 69th Street, Rowhouses at 322-344;New York;-73.95886891;40.76627878;
Traver, John H., Farm;Dutchess;-73.86719265;41.89461489;
Guilford-Bower Farmhouse;Ulster;-74.15747438;41.71141447;
Union Avenue Historic District;Saratoga;-73.76394484;43.07247353;
U.S. Inspection Station--Fort Covington;Franklin;-74.50472841;44.99570074;
South Junior High School;Niagara;-79.04606515;43.09249264;
Payne, Colonel Oliver H., Estate (boundary expansion);Ulster;-73.9682685;41.81350434;
Mt. Zion Methodist Church;Westchester;-73.71463166;41.30157021;
St. Andrew's Evangelical Lutheran Church Complex;Erie;-78.84657401;42.88811294;
General Cigar Company--Ansco Camera Factory Building;Broome;-75.9421101;42.1109727;
Roosevelt, Sara Delano, Memorial House;New York;-73.96762325;40.76715928;
Duchess Company Superintendent's House;Dutchess;-73.92551333;41.59423628;
Cherry Grove Community House and Theatre;Suffolk;-73.09048972;40.66007896;
Queensbury Quaker Burying Ground;Warren;-73.65334423;43.33185727;
Governor's House;New York;-74.01305263;40.69095223;
St. Vincent of Paul Catholic Church;Jefferson;-76.33982244;44.12441945;
St. Paul's Cathedral and Parish House;Onondaga;-76.14969647;43.04830824;
First Congregational Church of Fairport;Monroe;-77.44006489;43.09786302;
Our Lady of Mount Carmel Grotto;Richmond;-74.07480799;40.61221587;
District School #5;Cayuga;-76.64653785;43.3237878;
Central Savings Bank;New York;-73.98120707;40.7797747;
Moore House;Putnam;-73.93608376;41.38043195;
Wildcliff;Westchester;-73.76942409;40.90645469;
Fort Washington Avenue (22nd Corps of Engineers) Armory;New York;-73.94129367;40.8421349;
Buells Lane Historic District;Suffolk;-72.19832345;40.95897805;
St. Thomas' Episcopal Church;Dutchess;-73.5065794;41.825627;
Jackson Avenue Subway Station (IRT);Bronx;-73.9078165;40.81650513;
Coolidge Stores Building;Madison;-75.55146156;42.88907261;
Maples, The;Dutchess;-73.91543701;41.93598574;
The Dr. Wesley Blaisdell House 'Maplehurst';Albany;-73.79317214;42.47239427;
West End Collegiate Church and Collegiate School;New York;-73.98155699;40.78304345;
Capitol Theater;Westchester;-73.66516123;41.00160766;
Barbizon Hotel for Women;New York;-73.96619986;40.76440965;
Far Rockaway Beach Bungalow Historic District;Queens;-73.75828312;40.59418904;
Christian Church;Delaware;-74.8785422;42.29898446;
Dixon House;Dutchess;-73.91957469;41.70501158;
John P. Sommers House;Erie;-78.66843864;42.89819544;
Boulevard Houses;Kings;-73.88131031;40.66049554;
